Year,Month,Average
2000      ,1         ,8.1000
2000      ,2         ,4.1400
2000      ,3         ,7.6800
2000      ,4         ,1.5300
2000      ,5         ,8.6800
2000      ,6         ,3.2900
2000      ,7         ,1.6900
2000      ,8         ,1.2200
2000      ,9         ,2.5500
2000      ,10        ,0.9100
2000      ,11        ,5.4000
2000      ,12        ,2.2500
2001      ,1         ,1.7900
2001      ,2         ,6.1500
2001      ,3         ,3.1900
2001      ,4         ,2.0500
2001      ,5         ,2.3900
2001      ,6         ,2.8300
2001      ,7         ,2.3400
2001      ,8         ,1.3400
2001      ,9         ,3.8900
2001      ,10        ,5.7600
2001      ,11        ,6.9900
2001      ,12        ,9.8400
2002      ,1         ,4.7300
2002      ,2         ,1.5300
2002      ,3         ,7.6700
2002      ,4         ,4.7600
2002      ,5         ,6.8600
2002      ,6         ,5.3800
2002      ,7         ,2.1900
2002      ,8         ,3.3100
2002      ,9         ,4.6100
2002      ,10        ,2.0400
2002      ,11        ,3.1600
2002      ,12        ,6.0200
2003      ,1         ,0.4900
2003      ,2         ,5.4500
2003      ,3         ,1.4700
2003      ,4         ,4.6400
2003      ,5         ,6.0400
2003      ,6         ,3.6800
2003      ,7         ,3.8500
2003      ,8         ,4.4800
2003      ,9         ,5.1300
2003      ,10        ,1.7500
2003      ,11        ,4.0100
2003      ,12        ,2.7600
2004      ,1         ,2.0600
2004      ,2         ,1.9700
2004      ,3         ,3.4900
2004      ,4         ,4.0900
2004      ,5         ,4.1000
2004      ,6         ,2.4800
2004      ,7         ,3.8000
2004      ,8         ,2.6100
2004      ,9         ,0.5300
2004      ,10        ,4.2200
2004      ,11        ,9.2600
2004      ,12        ,3.0500
2005      ,1         ,4.8200
2005      ,2         ,2.6500
2005      ,3         ,2.9100
2005      ,4         ,3.1700
2005      ,5         ,0.7000
2005      ,6         ,3.3800
2005      ,7         ,4.6800
2005      ,8         ,3.8000
2005      ,9         ,2.9000
2005      ,10        ,0.0200
2005      ,11        ,3.1400
2005      ,12        ,0.4500
2006      ,1         ,4.4600
2006      ,2         ,2.3900
2006      ,3         ,4.8900
2006      ,4         ,3.3000
2006      ,5         ,4.4600
2006      ,6         ,1.9600
2006      ,7         ,5.4600
2006      ,8         ,1.9500
2006      ,9         ,13.1600
2006      ,10        ,4.7300
2006      ,11        ,4.9600
2006      ,12        ,3.7300
2007      ,1         ,6.6700
2007      ,2         ,2.9600
2007      ,3         ,1.9500
2007      ,4         ,2.4000
2007      ,5         ,2.9700
2007      ,6         ,2.6700
2007      ,7         ,2.8400
2007      ,8         ,0.6200
2007      ,9         ,1.2400
2007      ,10        ,5.2700
2007      ,11        ,1.9600
2007      ,12        ,6.4400
2008      ,1         ,1.1900
2008      ,2         ,3.4700
2008      ,3         ,8.1200
2008      ,4         ,5.2300
2008      ,5         ,3.4800
2008      ,6         ,1.7100
2008      ,7         ,2.1100
2008      ,8         ,2.7100
2008      ,9         ,2.8000
2008      ,10        ,2.1300
2008      ,11        ,1.9500
2008      ,12        ,5.3200
2009      ,1         ,1.9000
2009      ,2         ,2.5900
2009      ,3         ,2.5600
2009      ,4         ,5.6700
2009      ,5         ,5.9200
2009      ,6         ,2.7900
2009      ,7         ,3.6500
2009      ,8         ,1.7400
2009      ,9         ,3.5400
2009      ,10        ,10.7900
2009      ,11        ,1.5300
2009      ,12        ,7.2400
2010      ,1         ,2.7000
2010      ,2         ,1.4800
2010      ,3         ,4.6300
2010      ,4         ,4.8000
2010      ,5         ,5.0300
2010      ,6         ,0.4500
2010      ,7         ,3.5200
2010      ,8         ,0.2500
2010      ,9         ,1.3700
2010      ,10        ,0.4700
2010      ,11        ,4.4800
2010      ,12        ,2.0000
2011      ,1         ,0.2000
2011      ,2         ,5.1000
2011      ,3         ,4.3900
2011      ,4         ,12.7600
2011      ,5         ,8.0200
2011      ,6         ,0.8500
2011      ,7         ,1.8700
2011      ,8         ,2.1400
2011      ,9         ,2.5800
2011      ,10        ,1.6100
2011      ,11        ,9.0400
2011      ,12        ,7.5400
2012      ,1         ,2.1400
2012      ,2         ,2.4200
2012      ,3         ,5.5600
2012      ,4         ,1.5700
2012      ,5         ,1.7300
2012      ,6         ,0.5300
2012      ,7         ,2.7600
2012      ,8         ,2.5200
2012      ,9         ,3.4700
2012      ,10        ,2.8100
2012      ,11        ,1.8000
2012      ,12        ,3.2900
2013      ,1         ,5.2600
2013      ,2         ,4.2300
2013      ,3         ,2.2400
2013      ,4         ,5.7900
2013      ,5         ,6.0400
2013      ,6         ,3.6500
2013      ,7         ,2.5600
2013      ,8         ,6.7200
2013      ,9         ,1.2000
2013      ,10        ,3.8100
2013      ,11        ,1.5500
2013      ,12        ,7.2900
2014      ,1         ,1.9200
2014      ,2         ,0.9200
2014      ,3         ,2.8100
2014      ,4         ,11.2900
2014      ,5         ,4.2700
2014      ,6         ,5.3300
2014      ,7         ,2.3000
2014      ,8         ,2.6700
2014      ,9         ,1.9800
2014      ,10        ,3.8100
2014      ,11        ,2.1000
2014      ,12        ,2.1900
2015      ,1         ,2.2500
2015      ,2         ,1.1900
2015      ,3         ,6.7900
2015      ,4         ,5.6700
2015      ,5         ,5.6700
2015      ,6         ,2.3500
2015      ,7         ,3.0300
2015      ,8         ,2.3000
2015      ,9         ,0.3900
2015      ,10        ,2.5700
2015      ,11        ,10.2500
2015      ,12        ,9.0300
2016      ,1         ,1.4800
2016      ,2         ,1.9800
2016      ,3         ,7.6200
2016      ,4         ,3.1300
2016      ,5         ,5.0000
2016      ,6         ,2.1100
2016      ,7         ,6.5000
2016      ,8         ,6.0400
2016      ,9         ,1.5600
2016      ,10        ,1.3400
2016      ,11        ,4.0800
2016      ,12        ,5.0700
2017      ,1         ,2.0300
2017      ,2         ,1.4100
2017      ,3         ,5.8200
2017      ,4         ,7.0000
2017      ,5         ,5.2900
2017      ,6         ,2.3100
2017      ,7         ,3.4000
2017      ,8         ,4.6700
2017      ,9         ,0.2600
2017      ,10        ,1.8000
2017      ,11        ,2.0100
2017      ,12        ,3.5700
2018      ,1         ,2.2000
2018      ,2         ,9.4500
2018      ,3         ,3.4900
2018      ,4         ,4.5000
2018      ,5         ,4.1100
2018      ,6         ,1.9300
2018      ,7         ,1.7700
2018      ,8         ,5.8300
2018      ,9         ,5.0900
2018      ,10        ,4.4200
2018      ,11        ,4.4200
2018      ,12        ,3.7100
2019      ,1         ,4.6200
2019      ,2         ,10.0500
2019      ,3         ,3.7400
2019      ,4         ,5.7200
2019      ,5         ,6.7200
2019      ,6         ,7.9400
2019      ,7         ,3.9300
2019      ,8         ,3.9700
2019      ,9         ,1.1500
2019      ,10        ,8.8400
2019      ,11        ,5.3000
2019      ,12        ,2.2200
2020      ,1         ,5.1100
2020      ,2         ,4.6200
2020      ,3         ,5.8600
2020      ,4         ,3.3300
2020      ,5         ,4.5900
2020      ,6         ,3.3400
2020      ,7         ,4.0400
2020      ,8         ,5.4400
2020      ,9         ,4.1700
2020      ,10        ,6.7700
2020      ,11        ,2.5700
2020      ,12        ,2.6300
2021      ,1         ,4.1800
2021      ,2         ,1.9500
2021      ,3         ,5.4600
2021      ,4         ,5.2300
2021      ,5         ,3.0600
2021      ,6         ,4.4200
2021      ,7         ,4.0800
2021      ,8         ,2.1900
2021      ,9         ,2.8300
2021      ,10        ,7.3200
2021      ,11        ,2.3500
2021      ,12        ,5.3000
2022      ,1         ,5.6000
2022      ,2         ,3.8000
2022      ,3         ,3.5400
2022      ,4         ,6.6000
2022      ,5         ,5.7500
2022      ,6         ,1.4400
2022      ,7         ,3.8500
2022      ,8         ,3.4900
2022      ,9         ,0.6100
2022      ,10        ,1.9100
2022      ,11        ,3.0400
2022      ,12        ,5.2500
2023      ,1         ,9.6500
2023      ,2         ,4.6100
2023      ,3         ,7.9700
2023      ,4         ,3.8400
2023      ,5         ,1.6000
2023      ,6         ,0.3600
2023      ,7         ,5.0000
2023      ,8         ,4.6700
2023      ,9         ,2.4400
2023      ,10        ,3.7400
2023      ,11        ,1.5300
2023      ,12        ,1.7000
2024      ,1         ,7.9100
2024      ,2         ,1.4500
2024      ,3         ,2.1300
2024      ,4         ,2.7500
2024      ,5         ,9.8300
