location,SPI,longest duration,shortest duration
"Albany, Gentry County, MO",-2,"0           2003-01-01 00:00:00
1           2004-01-01 00:00:00
2                            12
3                         -2.56
4                         -13.4
5                         -1.12
6                         -1.09
duration                    365
Name: 0, dtype: object","0           2023-11-01 00:00:00
1           2024-01-01 00:00:00
2                             2
3                         -2.14
4                         -2.23
5                         -1.11
6                         -1.11
duration                     61
Name: 3, dtype: object"
"Auxvasse, Audrain County, MO",-2,"0           2023-05-01 00:00:00
1           2024-01-01 00:00:00
2                             8
3                         -2.72
4                          -9.7
5                         -1.21
6                          -1.0
duration                    245
Name: 4, dtype: object","0           2015-10-01 00:00:00
1           2015-11-01 00:00:00
2                             1
3                         -2.52
4                         -2.52
5                         -2.52
6                         -2.52
duration                     31
Name: 2, dtype: object"
"Brunswick, Carroll County, MO",-2,"0           2013-08-01 00:00:00
1           2014-08-01 00:00:00
2                            12
3                          -2.9
4                        -16.24
5                         -1.35
6                         -1.22
duration                    365
Name: 3, dtype: object","0           2018-06-01 00:00:00
1           2018-09-01 00:00:00
2                             3
3                         -2.11
4                         -3.64
5                         -1.21
6                         -1.36
duration                     92
Name: 4, dtype: object"
"Cardwell, Dunklin County, MO",-2,"0           2008-07-01 00:00:00
1           2009-04-01 00:00:00
2                             9
3                         -2.36
4                         -7.96
5                         -0.88
6                         -0.78
duration                    274
Name: 2, dtype: object","0           2017-11-01 00:00:00
1           2018-02-01 00:00:00
2                             3
3                         -2.49
4                         -5.08
5                         -1.69
6                         -1.35
duration                     92
Name: 4, dtype: object"
"Charleston, Mississippi County, MO",-2,"0           2012-06-01 00:00:00
1           2012-10-01 00:00:00
2                             4
3                         -2.03
4                         -6.61
5                         -1.65
6                         -1.99
duration                    122
Name: 2, dtype: object","0           2005-12-01 00:00:00
1           2006-03-01 00:00:00
2                             3
3                         -2.16
4                         -4.12
5                         -1.37
6                          -1.3
duration                     90
Name: 1, dtype: object"
"Clarkton, Dunklin County, MO",-2,"0           2012-06-01 00:00:00
1           2013-02-01 00:00:00
2                             8
3                         -2.46
4                         -8.02
5                          -1.0
6                         -0.69
duration                    245
Name: 3, dtype: object","0           2024-04-01 00:00:00
1           2024-05-01 00:00:00
2                             1
3                         -2.22
4                         -2.22
5                         -2.22
6                         -2.22
duration                     30
Name: 5, dtype: object"
"Columbia-Sanborn Field, Boone County, MO",-2,"0           2023-05-01 00:00:00
1           2024-01-01 00:00:00
2                             8
3                          -2.4
4                        -10.86
5                         -1.36
6                         -1.08
duration                    245
Name: 3, dtype: object","0           2015-10-01 00:00:00
1           2015-11-01 00:00:00
2                             1
3                         -2.01
4                         -2.01
5                         -2.01
6                         -2.01
duration                     31
Name: 2, dtype: object"
"Columbia-South Farms, Boone County, MO",-2,"0           2012-07-01 00:00:00
1           2013-02-01 00:00:00
2                             7
3                         -2.95
4                        -10.45
5                         -1.49
6                         -1.21
duration                    215
Name: 0, dtype: object","0           2023-11-01 00:00:00
1           2024-01-01 00:00:00
2                             2
3                         -2.12
4                         -2.57
5                         -1.29
6                         -1.29
duration                     61
Name: 3, dtype: object"
"Cook Station, Crawford County, MO",-2,"0           2000-05-01 00:00:00
1           2000-08-01 00:00:00
2                             3
3                         -2.37
4                         -4.12
5                         -1.37
6                         -1.55
duration                     92
Name: 0, dtype: object","0           2023-06-01 00:00:00
1           2023-08-01 00:00:00
2                             2
3                         -2.14
4                         -3.04
5                         -1.52
6                         -1.52
duration                     61
Name: 5, dtype: object"
"Corning, Atchison County, MO",-2,"0           2014-03-01 00:00:00
1           2014-08-01 00:00:00
2                             5
3                         -2.28
4                         -6.62
5                         -1.32
6                         -1.91
duration                    153
Name: 3, dtype: object","0           2003-09-01 00:00:00
1           2003-11-01 00:00:00
2                             2
3                         -2.66
4                         -4.39
5                         -2.19
6                         -2.19
duration                     61
Name: 1, dtype: object"
"Delta, Cape Girardeau County, MO",-2,"0           2022-07-01 00:00:00
1           2023-01-01 00:00:00
2                             6
3                         -2.17
4                         -7.59
5                         -1.27
6                         -0.95
duration                    184
Name: 3, dtype: object","0           2007-08-01 00:00:00
1           2007-11-01 00:00:00
2                             3
3                          -2.3
4                         -4.48
5                         -1.49
6                         -1.92
duration                     92
Name: 0, dtype: object"
"Glennonville, Dunklin County, MO",-2,"0           2012-06-01 00:00:00
1           2013-02-01 00:00:00
2                             8
3                         -2.44
4                         -8.16
5                         -1.02
6                         -0.65
duration                    245
Name: 2, dtype: object","0           2005-12-01 00:00:00
1           2006-08-01 00:00:00
2                             8
3                         -2.21
4                         -8.14
5                         -1.02
6                         -0.96
duration                    243
Name: 0, dtype: object"
"Hayward, Pemiscot County, MO",-2,"0           2010-08-01 00:00:00
1           2011-04-01 00:00:00
2                             8
3                         -3.15
4                        -12.39
5                         -1.55
6                         -1.13
duration                    243
Name: 2, dtype: object","0           2005-12-01 00:00:00
1           2006-03-01 00:00:00
2                             3
3                         -2.88
4                         -5.01
5                         -1.67
6                         -1.17
duration                     90
Name: 0, dtype: object"
"Lamar, Barton County, MO",-2,"0           2005-12-01 00:00:00
1           2007-01-01 00:00:00
2                            13
3                         -2.42
4                        -15.88
5                         -1.22
6                         -1.13
duration                    396
Name: 0, dtype: object","0           2022-09-01 00:00:00
1           2022-12-01 00:00:00
2                             3
3                         -2.21
4                         -4.48
5                         -1.49
6                         -1.42
duration                     91
Name: 2, dtype: object"
"Linneus, Linn County, MO",-2,"0           2010-12-01 00:00:00
1           2011-12-01 00:00:00
2                            12
3                         -2.34
4                        -10.58
5                         -0.88
6                         -0.74
duration                    365
Name: 1, dtype: object","0           2023-06-01 00:00:00
1           2023-09-01 00:00:00
2                             3
3                         -2.28
4                         -4.51
5                          -1.5
6                         -2.05
duration                     92
Name: 3, dtype: object"
"Monroe City, Monroe County, MO",-2,"0           2005-05-01 00:00:00
1           2006-03-01 00:00:00
2                            10
3                         -2.04
4                          -9.4
5                         -0.94
6                          -0.7
duration                    304
Name: 1, dtype: object","0           2023-11-01 00:00:00
1           2024-02-01 00:00:00
2                             3
3                         -2.26
4                         -3.38
5                         -1.13
6                         -1.08
duration                     92
Name: 4, dtype: object"
"Novelty, Knox County, MO",-2,"0           2023-06-01 00:00:00
1           2024-04-01 00:00:00
2                            10
3                         -2.76
4                        -12.25
5                         -1.23
6                         -0.92
duration                    305
Name: 2, dtype: object","0           2011-10-01 00:00:00
1           2011-12-01 00:00:00
2                             2
3                         -2.23
4                         -2.57
5                         -1.29
6                         -1.29
duration                     61
Name: 1, dtype: object"
"Portageville, Pemiscot County, MO",-2,"0           2012-06-01 00:00:00
1           2013-02-01 00:00:00
2                             8
3                         -3.14
4                         -9.21
5                         -1.15
6                         -0.53
duration                    245
Name: 3, dtype: object","0           2015-09-01 00:00:00
1           2015-11-01 00:00:00
2                             2
3                         -2.01
4                         -3.18
5                         -1.59
6                         -1.59
duration                     61
Name: 4, dtype: object"
"St. Joseph, Buchanan County, MO",-2,"0           2002-08-01 00:00:00
1           2003-04-01 00:00:00
2                             8
3                         -2.51
4                        -13.09
5                         -1.64
6                         -1.65
duration                    243
Name: 0, dtype: object","0           2013-08-01 00:00:00
1           2013-10-01 00:00:00
2                             2
3                         -2.42
4                         -3.56
5                         -1.78
6                         -1.78
duration                     61
Name: 2, dtype: object"
